image_id,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y
000001.jpg,69,109,106,113,77,142,73,152,108,154
000002.jpg,69,110,107,112,81,135,70,151,108,153
000003.jpg,76,112,104,106,108,128,74,156,98,158
000004.jpg,72,113,108,108,101,138,71,155,101,151
000005.jpg,66,114,112,112,86,119,71,147,104,150
000006.jpg,71,111,106,110,94,131,74,154,102,153
000007.jpg,70,112,108,111,85,135,72,152,104,152
000008.jpg,71,110,106,111,84,137,73,155,104,153
000009.jpg,68,113,110,111,97,139,66,152,109,150
000010.jpg,68,111,108,112,89,136,70,151,107,151
000011.jpg,69,112,108,111,89,139,72,152,104,151
000012.jpg,69,112,108,112,89,136,68,150,109,152
000013.jpg,68,112,109,111,90,138,67,151,109,150
000014.jpg,68,112,109,111,92,141,72,150,104,152
000015.jpg,69,110,107,112,90,133,74,152,105,153
000016.jpg,69,112,108,111,85,138,70,152,105,152
000017.jpg,67,112,109,113,86,138,67,150,111,151
000018.jpg,67,112,110,112,88,135,68,150,109,150
000019.jpg,68,111,108,112,88,134,73,152,104,151
000020.jpg,69,112,109,110,86,125,72,152,103,151
000021.jpg,70,111,107,111,87,138,73,151,104,154
000022.jpg,70,111,107,111,85,132,74,153,103,153
000023.jpg,70,112,108,111,88,140,71,153,105,151
000024.jpg,67,111,109,113,84,123,72,149,106,152
000025.jpg,70,111,108,111,83,130,72,153,104,152
000026.jpg,69,111,108,111,85,135,73,152,103,152
000027.jpg,70,112,107,110,101,138,70,155,105,151
000028.jpg,68,112,110,112,89,145,67,150,109,151
000029.jpg,69,111,108,111,91,129,70,151,107,152
000030.jpg,70,110,106,111,95,135,75,153,103,153
000031.jpg,68,113,109,111,88,137,65,151,111,151
000032.jpg,72,111,106,110,88,133,75,153,101,155
000033.jpg,69,111,108,111,88,136,72,152,105,152
000034.jpg,70,111,108,111,91,134,72,153,104,152
000035.jpg,69,111,108,111,88,135,73,152,104,152
000036.jpg,74,106,101,111,69,138,80,156,102,158
000037.jpg,72,110,105,110,94,132,76,155,101,155
000038.jpg,69,112,109,111,93,137,68,151,109,152
000039.jpg,69,111,108,111,100,131,68,151,108,152
000040.jpg,69,112,108,111,89,139,73,152,103,152
000041.jpg,70,105,102,114,65,144,73,151,112,159
000042.jpg,68,112,109,112,92,138,68,152,109,150
000043.jpg,68,111,109,112,90,136,67,150,110,151
000044.jpg,71,110,106,111,87,137,73,153,105,154
000045.jpg,69,112,108,111,86,140,68,151,108,152
000046.jpg,66,112,110,113,87,139,69,149,109,150
000047.jpg,68,112,109,112,88,135,72,151,105,152
000048.jpg,70,113,108,110,81,125,74,154,100,150
000049.jpg,73,107,102,111,76,139,78,157,102,156
000050.jpg,68,112,109,111,93,139,66,151,110,151
000051.jpg,67,113,110,112,83,140,69,148,107,152
000052.jpg,70,111,107,111,85,135,72,153,105,153
000053.jpg,70,112,108,111,91,137,72,153,103,152
000054.jpg,67,112,110,112,87,138,66,150,111,151
000055.jpg,69,111,108,111,86,133,73,151,104,153
000056.jpg,69,111,107,111,97,133,74,152,103,152
000057.jpg,71,111,106,110,95,134,73,154,103,154
000058.jpg,68,112,109,112,89,132,73,152,104,150
000059.jpg,72,110,105,110,75,132,75,153,101,156
000060.jpg,71,112,107,109,74,131,70,154,104,153
000061.jpg,74,110,104,108,97,130,78,158,97,154
000062.jpg,69,111,108,112,87,137,72,153,105,151
000063.jpg,68,111,108,113,82,142,66,150,112,152
000064.jpg,68,111,108,112,88,132,71,151,106,152
000065.jpg,69,112,108,111,87,136,71,152,106,151
000066.jpg,66,112,110,113,86,136,65,149,114,150
000067.jpg,70,110,106,111,93,136,73,154,104,153
000068.jpg,69,111,108,111,93,136,72,151,105,153
000069.jpg,68,111,108,112,88,126,77,151,101,152
000070.jpg,67,109,107,114,78,144,72,150,110,153
000071.jpg,68,111,109,113,85,138,71,151,108,151
000072.jpg,68,112,109,112,89,137,64,151,113,150
000073.jpg,70,110,107,111,77,134,74,152,103,154
000074.jpg,68,111,108,113,88,124,75,153,103,150
000075.jpg,70,111,107,111,80,129,73,152,103,153
000076.jpg,67,113,110,112,83,126,67,151,109,150
000077.jpg,68,111,109,112,83,138,69,150,109,152
000078.jpg,66,112,111,113,90,126,70,149,107,150
000079.jpg,70,111,107,111,80,139,73,153,103,152
000080.jpg,69,110,107,112,92,137,73,153,105,152
000081.jpg,69,112,108,111,95,136,68,153,109,150
000082.jpg,69,111,108,111,88,135,69,152,108,151
000083.jpg,68,112,109,112,87,138,69,150,108,152
000084.jpg,69,111,108,111,93,128,71,151,107,153
000085.jpg,68,111,108,112,85,139,72,150,107,152
000086.jpg,69,109,106,113,97,132,79,152,101,153
000087.jpg,69,112,108,112,93,140,66,152,111,151
000088.jpg,71,112,107,110,81,134,77,153,98,154
000089.jpg,69,111,108,111,83,140,73,151,104,153
000090.jpg,71,110,105,111,92,133,77,154,100,154
000091.jpg,69,111,108,111,88,139,73,152,104,152
000092.jpg,68,112,109,111,94,137,73,151,104,151
000093.jpg,66,112,111,113,87,126,72,148,105,150
000094.jpg,68,111,108,112,92,134,69,150,109,153
000095.jpg,70,112,108,110,92,132,75,153,101,152
000096.jpg,69,111,108,112,91,128,74,151,103,152
000097.jpg,69,111,108,111,87,132,76,150,101,154
000098.jpg,70,111,107,111,80,137,77,152,100,154
000099.jpg,68,112,109,112,90,138,66,151,111,150
000100.jpg,69,111,108,111,95,134,69,151,107,152
000101.jpg,69,112,108,111,92,136,71,152,105,151
000102.jpg,70,112,107,110,82,122,72,154,104,151
000103.jpg,70,111,107,111,92,131,74,153,103,153
000104.jpg,68,111,108,112,87,138,68,151,110,152
000105.jpg,68,112,109,112,91,136,73,152,104,150
000106.jpg,69,112,108,111,98,141,68,152,109,151
000107.jpg,67,112,110,112,89,137,67,150,110,150
000108.jpg,68,112,109,112,90,136,67,151,109,151
000109.jpg,70,111,107,111,88,139,72,153,105,153
000110.jpg,66,113,111,112,86,142,65,150,111,149
000111.jpg,68,111,109,112,79,140,67,150,111,152
000112.jpg,67,112,110,112,86,136,65,150,112,150
000113.jpg,69,112,109,111,88,137,70,152,106,151
000114.jpg,69,111,108,112,89,138,72,153,107,151
000115.jpg,72,111,106,110,87,135,74,154,102,154
000116.jpg,68,112,109,111,90,136,66,152,110,150
000117.jpg,69,111,108,111,83,131,72,153,105,151
000118.jpg,69,113,109,111,97,143,69,153,107,150
000119.jpg,70,111,107,110,91,137,74,152,102,153
000120.jpg,75,109,103,108,120,136,69,153,106,161
000121.jpg,68,112,109,112,87,139,68,151,109,151
000122.jpg,68,112,109,112,86,137,67,151,110,151
000123.jpg,70,111,107,111,84,134,72,152,104,153
000124.jpg,71,111,107,110,96,137,74,154,102,152
000125.jpg,69,111,108,111,87,136,69,153,109,151
000126.jpg,68,112,109,112,80,139,69,150,108,152
000127.jpg,69,111,108,112,85,137,73,151,104,153
000128.jpg,69,113,109,110,94,140,68,154,106,149
000129.jpg,69,111,107,111,86,140,70,152,108,152
000130.jpg,70,111,107,111,87,139,73,154,103,152
000131.jpg,69,111,108,112,76,138,68,150,110,153
000132.jpg,68,111,109,112,84,138,68,150,110,152
000133.jpg,69,112,109,111,90,141,69,151,107,152
000134.jpg,70,108,105,113,75,137,71,153,110,154
000135.jpg,70,112,108,110,93,141,67,151,108,153
000136.jpg,70,111,107,110,81,136,70,152,106,154
000137.jpg,72,113,107,108,105,136,69,155,103,153
000138.jpg,69,110,107,112,89,128,70,153,109,152
000139.jpg,70,111,107,110,78,138,70,152,106,153
000140.jpg,70,111,107,111,93,134,72,152,104,153
000141.jpg,70,111,107,111,88,133,74,152,103,153
000142.jpg,70,111,107,111,90,137,74,153,102,153
000143.jpg,69,112,109,111,84,134,69,152,108,151
000144.jpg,72,109,105,111,76,133,77,154,101,155
000145.jpg,68,112,109,111,95,139,65,152,111,150
000146.jpg,73,112,106,108,109,136,70,155,103,154
000147.jpg,69,111,108,111,89,133,75,151,102,152
000148.jpg,73,110,105,109,98,134,75,157,101,153
000149.jpg,70,112,108,111,90,120,71,153,105,152
000150.jpg,71,112,107,110,90,137,75,153,100,153
000151.jpg,69,112,109,111,92,142,64,152,112,151
000152.jpg,68,111,108,112,90,134,70,151,108,151
000153.jpg,68,111,109,112,89,138,67,150,110,152
000154.jpg,71,110,106,111,87,129,74,153,103,154
000155.jpg,67,111,109,113,86,143,67,151,111,150
000156.jpg,68,111,108,112,81,136,69,151,109,152
000157.jpg,69,111,108,111,89,132,73,152,104,151
000158.jpg,70,111,107,111,81,133,72,153,106,152
000159.jpg,69,105,103,115,72,142,79,152,107,156
000160.jpg,70,111,107,111,88,140,73,152,104,152
000161.jpg,68,111,109,112,85,134,69,151,109,152
000162.jpg,70,112,108,110,81,125,71,153,104,151
000163.jpg,69,112,109,111,81,132,73,151,102,152
000164.jpg,71,111,106,110,85,131,72,154,104,153
000165.jpg,71,111,106,110,92,134,74,154,102,153
000166.jpg,70,112,108,110,84,130,71,154,104,151
000167.jpg,71,109,105,111,104,131,77,157,102,151
000168.jpg,68,114,111,110,98,141,64,153,109,147
000169.jpg,69,110,107,112,93,122,75,152,105,153
000170.jpg,69,112,108,111,88,136,72,151,105,152
000171.jpg,70,111,107,111,95,138,73,152,104,154
000172.jpg,70,112,108,110,82,134,70,153,105,152
000173.jpg,66,112,110,113,87,139,69,149,109,150
000174.jpg,68,111,108,112,86,139,67,151,110,151
000175.jpg,68,111,108,113,81,143,69,149,110,153
000176.jpg,68,112,109,111,90,133,70,152,106,151
000177.jpg,73,109,104,110,101,132,79,157,98,154
000178.jpg,67,111,109,113,87,144,67,151,111,150
000179.jpg,69,112,108,111,83,138,72,151,104,152
000180.jpg,68,111,109,113,86,137,72,151,106,151
000181.jpg,68,109,107,113,80,137,70,149,111,155
000182.jpg,70,111,107,111,90,130,71,153,106,152
000183.jpg,68,111,109,112,79,139,67,149,111,153
000184.jpg,71,108,104,112,71,140,78,153,102,156
000185.jpg,70,113,108,109,81,126,72,154,102,151
000186.jpg,71,112,107,110,77,135,72,152,103,154
000187.jpg,69,111,108,111,79,136,67,151,110,153
000188.jpg,72,110,105,110,80,134,72,154,105,154
000189.jpg,64,111,111,116,81,141,69,147,112,149
000190.jpg,70,112,108,111,85,133,73,153,103,151
000191.jpg,66,112,110,113,84,146,66,149,112,150
000192.jpg,66,113,111,112,94,135,66,149,110,149
000193.jpg,70,111,107,111,93,128,73,153,104,153
000194.jpg,69,111,108,111,78,135,67,152,109,152
000195.jpg,70,112,108,111,96,133,70,152,106,153
000196.jpg,69,111,108,112,84,135,70,152,108,151
000197.jpg,70,111,107,111,79,137,73,152,105,153
000198.jpg,69,111,108,112,93,138,72,152,105,151
000199.jpg,62,115,116,114,89,146,70,146,106,144
000200.jpg,70,111,107,111,84,137,74,153,103,152
000201.jpg,69,112,108,111,85,133,73,153,104,151
000202.jpg,70,110,107,111,97,130,73,153,104,153
000203.jpg,70,111,107,111,92,134,72,153,104,153
000204.jpg,68,112,109,111,85,136,66,151,110,151
000205.jpg,70,111,107,111,92,135,72,152,105,153
000206.jpg,70,110,106,112,74,136,72,153,107,153
000207.jpg,70,111,107,110,90,129,75,153,101,152
000208.jpg,67,113,110,112,89,141,69,149,107,151
000209.jpg,69,112,108,111,92,142,65,152,110,151
000210.jpg,72,112,107,109,88,131,73,154,101,153
000211.jpg,69,111,107,112,90,139,73,152,105,152
000212.jpg,70,111,107,110,90,134,74,153,102,153
000213.jpg,69,111,108,111,89,137,72,152,106,153
000214.jpg,69,112,109,111,89,139,68,151,109,152
000215.jpg,70,111,107,111,92,135,72,152,105,153
000216.jpg,69,111,108,111,88,137,74,152,103,152
000217.jpg,70,111,107,111,87,136,72,151,105,153
000218.jpg,69,112,108,111,95,133,70,152,106,151
000219.jpg,68,110,107,113,82,141,74,151,106,153
000220.jpg,71,111,107,110,96,137,73,154,102,153
000221.jpg,71,111,106,110,88,136,73,153,103,154
